PLAYER NAME,AVERAGE SG:OTT,AVERAGE SG:PUTTING,GREENS %,GIR% - AVG%,TOTAL SG:PUTTING,TOTAL SG:OTT,PREDICTIVE SCORE
Mark Anderson,-0.12300000000000001,0.027000000000000003,66.78,-0.16580473933649031,0.10800000000000001,-0.49200000000000005,-0.18080473933649033
Sam Ryder,-0.04,0.0,66.75,-0.18740473933649593,0.0,-0.16,-0.22740473933649594
Harry Higgs,0.33799999999999997,0.006999999999999999,66.15,-0.6194047393364883,0.027999999999999997,1.3519999999999999,-0.2534047393364883
Sebastián Muñoz,0.20600000000000002,0.037000000000000005,66.05,-0.6914047393364964,0.14800000000000002,0.8240000000000001,-0.33740473933649634
Cameron Smith,-0.17300000000000001,0.42700000000000005,64.32,-1.937004739336503,1.7080000000000002,-0.6920000000000001,-0.40200473933650294
Patton Kizzire,-0.6609999999999999,0.45299999999999996,64.85,-1.5554047393364971,1.8119999999999998,-2.6439999999999997,-0.40440473933649723
Rhein Gibson,-0.888,0.43200000000000005,65.22,-1.2890047393364945,1.7280000000000002,-3.552,-0.4490047393364943
Fabián Gómez,-0.251,0.011000000000000001,66.67,-0.24500473933648959,0.044000000000000004,-1.004,-0.45200473933648955
Michael Gligic,0.136,-0.175,67.13,0.08619526066350591,-0.7,0.544,-0.47780473933649403
Branden Grace,-0.18100000000000002,-0.35200000000000004,68.43,1.0221952606635067,-1.4080000000000001,-0.7240000000000001,-0.5668047393364934
Ryan Brehm,0.34600000000000003,-0.547,68.78,1.274195260663503,-2.188,1.3840000000000001,-0.5678047393364971
Mackenzie Hughes,-0.35700000000000004,0.557,63.6,-2.455404739336494,2.228,-1.4280000000000002,-0.5844047393364937
Kevin Chappell,-0.099,0.198,65.18,-1.3178047393364913,0.792,-0.396,-0.6248047393364913
Bud Cauley,-0.141,0.11699999999999999,65.63,-0.993804739336495,0.46799999999999997,-0.564,-0.6668047393364951
Nate Lashley,-0.20800000000000002,0.204,65.22,-1.2890047393364945,0.816,-0.8320000000000001,-0.6810047393364946
Roberto Castro,-0.11,-0.41700000000000004,68.52,1.0869952606634996,-1.6680000000000001,-0.44,-0.6910047393365005
Brooks Koepka,0.36200000000000004,-0.23600000000000002,66.81,-0.1442047393364927,-0.9440000000000001,1.4480000000000002,-0.7262047393364925
Alex Noren,-0.138,0.326,64.35,-1.9154047393364975,1.304,-0.552,-0.7494047393364974
Ryan Palmer,0.379,-0.311,67.06,0.03579526066350347,-1.244,1.516,-0.8292047393364965
Shawn Stefani,-0.315,-0.27399999999999997,67.78,0.5541952606635023,-1.0959999999999999,-1.26,-0.8568047393364975
"Ted Potter, Jr.",-0.37799999999999995,-0.46799999999999997,68.94,1.3893952606635063,-1.8719999999999999,-1.5119999999999998,-0.8606047393364935
